file_name,alloy,card,n_labeled,n_rows,frac_labeled
AA5xxx Card - 035E.docx,AA5xxx,035E,1,1,1.0
AA5xxx Card - 035F.docx,AA5xxx,035F,1,1,1.0
AA5xxx Card - 035G.docx,AA5xxx,035G,1,1,1.0
AA5xxx Card - 035H.docx,AA5xxx,035H,1,1,1.0
AA5xxx Card - 035I.docx,AA5xxx,035I,1,1,1.0
AA5xxx Card - 035J.docx,AA5xxx,035J,1,1,1.0
AA5xxx Card - 035K.docx,AA5xxx,035K,1,1,1.0
AA5xxx Card - 035L.docx,AA5xxx,035L,1,1,1.0
AA5xxx Card - 035M.docx,AA5xxx,035M,1,1,1.0
AA5xxx Card - 035N.docx,AA5xxx,035N,1,1,1.0
AA5xxx Card - 035O.docx,AA5xxx,035O,1,1,1.0
AA5xxx Card - 035P.docx,AA5xxx,035P,1,1,1.0
AA5xxx Card - 035Q.docx,AA5xxx,035Q,1,1,1.0
AA5xxx Card - 035R.docx,AA5xxx,035R,1,1,1.0
AA5xxx Card - 035S.docx,AA5xxx,035S,1,1,1.0
AA5xxx Card - 035T.docx,AA5xxx,035T,1,1,1.0
AA5xxx Card - 035U.docx,AA5xxx,035U,1,1,1.0
AA5xxx Card - 036A.docx,AA5xxx,036A,1,1,1.0
AA5xxx Card - 036B.docx,AA5xxx,036B,1,1,1.0
AA5xxx Card - 036C.docx,AA5xxx,036C,1,1,1.0
AA5xxx Card - 036D.docx,AA5xxx,036D,1,1,1.0
AA5xxx Card - 036E.docx,AA5xxx,036E,1,1,1.0
AA5xxx Card - 036F.docx,AA5xxx,036F,1,1,1.0
AA5xxx Card - 036G.docx,AA5xxx,036G,1,1,1.0
AA5xxx Card - 036H.docx,AA5xxx,036H,1,1,1.0
AA5xxx Card - 036I.docx,AA5xxx,036I,1,1,1.0
AA5xxx Card - 036J.docx,AA5xxx,036J,1,1,1.0
AA5xxx Card - 036K.docx,AA5xxx,036K,1,1,1.0
AA5xxx Card - 036L.docx,AA5xxx,036L,1,1,1.0
AA5xxx Card - 036M.docx,AA5xxx,036M,1,1,1.0
AA5xxx Card - 036N.docx,AA5xxx,036N,1,1,1.0
AA5xxx Card - 036O.docx,AA5xxx,036O,1,1,1.0
AA5xxx Card - 036P.docx,AA5xxx,036P,1,1,1.0
AA5xxx Card - 037A.docx,AA5xxx,037A,1,1,1.0
AA5xxx Card - 037B.docx,AA5xxx,037B,1,1,1.0
AA5xxx Card - 038A.docx,AA5xxx,038A,1,1,1.0
AA5xxx Card - 038B.docx,AA5xxx,038B,1,1,1.0
AA5xxx Card - 038C.docx,AA5xxx,038C,1,1,1.0
AA5xxx Card - 039A.docx,AA5xxx,039A,1,1,1.0
AA5xxx Card - 039B.docx,AA5xxx,039B,1,1,1.0
AA5xxx Card - 039C.docx,AA5xxx,039C,1,1,1.0
AA5xxx Card - 040A.docx,AA5xxx,040A,1,1,1.0
AA5xxx Card - 040B.docx,AA5xxx,040B,1,1,1.0
AA5xxx Card - 040C.docx,AA5xxx,040C,1,1,1.0
AA5xxx Card - 040D.docx,AA5xxx,040D,1,1,1.0
AA5xxx Card - 040E.docx,AA5xxx,040E,1,1,1.0
AA5xxx Card - 040F.docx,AA5xxx,040F,1,1,1.0
AA5xxx Card - 041A.docx,AA5xxx,041A,1,1,1.0
AA5xxx Card - 041B.docx,AA5xxx,041B,1,1,1.0
AA5xxx Card - 041C.docx,AA5xxx,041C,1,1,1.0
AA5xxx Card - 041D.docx,AA5xxx,041D,1,1,1.0
AA5xxx Card - 042A.docx,AA5xxx,042A,1,1,1.0
AA5xxx Card - 042B.docx,AA5xxx,042B,1,1,1.0
AA5xxx Card - 042C.docx,AA5xxx,042C,0,1,0.0
AA5xxx Card - 042D.docx,AA5xxx,042D,0,1,0.0
AA5xxx Card - 042E.docx,AA5xxx,042E,0,1,0.0
AA5xxx Card - 042F.docx,AA5xxx,042F,1,1,1.0
