group_1,group_2,group_3,target,n_rows
AA5xxx Card - 047A.docx,AA5xxx,047A,UniformEL,1
AA5xxx Card - 047B.docx,AA5xxx,047B,UniformEL,1
AA5xxx Card - 047C.docx,AA5xxx,047C,UniformEL,1
AA5xxx Card - 047D.docx,AA5xxx,047D,UniformEL,1
AA5xxx Card - 047E.docx,AA5xxx,047E,UniformEL,1
AA5xxx Card - 048A.docx,AA5xxx,048A,UniformEL,1
AA5xxx Card - 049A.docx,AA5xxx,049A,UniformEL,1
AA5xxx Card - 049B.docx,AA5xxx,049B,UniformEL,1
AA5xxx Card - 050A.docx,AA5xxx,050A,UniformEL,1
AA5xxx Card - 050B.docx,AA5xxx,050B,UniformEL,1
AA5xxx Card - 050C.docx,AA5xxx,050C,UniformEL,1
AA5xxx Card - 050E.docx,AA5xxx,050E,UniformEL,1
AA5xxx Card - 051A.docx,AA5xxx,051A,UniformEL,1
AA5xxx Card - 051B.docx,AA5xxx,051B,UniformEL,1
AA5xxx Card - 051C.docx,AA5xxx,051C,UniformEL,1
AA5xxx Card - 051D.docx,AA5xxx,051D,UniformEL,1
AA5xxx Card - 052A.docx,AA5xxx,052A,UniformEL,1
AA5xxx Card - 052B.docx,AA5xxx,052B,UniformEL,1
AA5xxx Card - 052C.docx,AA5xxx,052C,UniformEL,1
AA5xxx Card - 052D.docx,AA5xxx,052D,UniformEL,1
AA5xxx Card - 053A.docx,AA5xxx,053A,UniformEL,1
AA5xxx Card - 053B.docx,AA5xxx,053B,UniformEL,1
AA5xxx Card - 053C.docx,AA5xxx,053C,UniformEL,1
AA5xxx Card - 053D.docx,AA5xxx,053D,UniformEL,1
AA5xxx Card - 054A.docx,AA5xxx,054A,UniformEL,1
AA5xxx Card - 054B.docx,AA5xxx,054B,UniformEL,1
AA5xxx Card - 054C.docx,AA5xxx,054C,UniformEL,1
AA5xxx Card - 054D.docx,AA5xxx,054D,UniformEL,1
AA5xxx Card - 004A.docx,AA5xxx,004A,YPE,1
AA5xxx Card - 004B.docx,AA5xxx,004B,YPE,1
AA5xxx Card - 004C.docx,AA5xxx,004C,YPE,1
AA5xxx Card - 004D.docx,AA5xxx,004D,YPE,1
AA5xxx Card - 013D.docx,AA5xxx,013D,YPE,1
AA5xxx Card - 013N.docx,AA5xxx,013N,YPE,1
AA5xxx Card - 016A.docx,AA5xxx,016A,YPE,1
AA5xxx Card - 017A.docx,AA5xxx,017A,YPE,1
AA5xxx Card - 017B.docx,AA5xxx,017B,YPE,1
AA5xxx Card - 017C.docx,AA5xxx,017C,YPE,1
AA5xxx Card - 017D.docx,AA5xxx,017D,YPE,1
AA5xxx Card - 018A.docx,AA5xxx,018A,YPE,1
AA5xxx Card - 018B.docx,AA5xxx,018B,YPE,1
AA5xxx Card - 018C.docx,AA5xxx,018C,YPE,1
AA5xxx Card - 018D.docx,AA5xxx,018D,YPE,1
AA5xxx Card - 018E.docx,AA5xxx,018E,YPE,1
AA5xxx Card - 019A.docx,AA5xxx,019A,YPE,1
AA5xxx Card - 019B.docx,AA5xxx,019B,YPE,1
AA5xxx Card - 019C.docx,AA5xxx,019C,YPE,1
AA5xxx Card - 019D.docx,AA5xxx,019D,YPE,1
AA5xxx Card - 019E.docx,AA5xxx,019E,YPE,1
AA5xxx Card - 020A.docx,AA5xxx,020A,YPE,1
AA5xxx Card - 020B.docx,AA5xxx,020B,YPE,1
AA5xxx Card - 020C.docx,AA5xxx,020C,YPE,1
AA5xxx Card - 020D.docx,AA5xxx,020D,YPE,1
AA5xxx Card - 020E.docx,AA5xxx,020E,YPE,1
AA5xxx Card - 020F.docx,AA5xxx,020F,YPE,1
AA5xxx Card - 020G.docx,AA5xxx,020G,YPE,1
AA5xxx Card - 020H.docx,AA5xxx,020H,YPE,1
AA5xxx Card - 020I.docx,AA5xxx,020I,YPE,1
AA5xxx Card - 021A.docx,AA5xxx,021A,YPE,1
AA5xxx Card - 021B.docx,AA5xxx,021B,YPE,1
AA5xxx Card - 021C.docx,AA5xxx,021C,YPE,1
AA5xxx Card - 021D.docx,AA5xxx,021D,YPE,1
AA5xxx Card - 022I.docx,AA5xxx,022I,YPE,1
AA5xxx Card - 028B.docx,AA5xxx,028B,YPE,1
AA5xxx Card - 028C.docx,AA5xxx,028C,YPE,1
AA5xxx Card - 028D.docx,AA5xxx,028D,YPE,1
AA5xxx Card - 028E.docx,AA5xxx,028E,YPE,1
AA5xxx Card - 028F.docx,AA5xxx,028F,YPE,1
AA5xxx Card - 032A.docx,AA5xxx,032A,YPE,1
AA5xxx Card - 032B.docx,AA5xxx,032B,YPE,1
AA5xxx Card - 032C.docx,AA5xxx,032C,YPE,1
AA5xxx Card - 032D.docx,AA5xxx,032D,YPE,1
AA5xxx Card - 033A.docx,AA5xxx,033A,YPE,1
AA5xxx Card - 033B.docx,AA5xxx,033B,YPE,1
AA5xxx Card - 034A.docx,AA5xxx,034A,YPE,1
AA5xxx Card - 034B.docx,AA5xxx,034B,YPE,1
AA5xxx Card - 034C.docx,AA5xxx,034C,YPE,1
AA5xxx Card - 034D.docx,AA5xxx,034D,YPE,1
AA5xxx Card - 034E.docx,AA5xxx,034E,YPE,1
AA5xxx Card - 034F.docx,AA5xxx,034F,YPE,1
AA5xxx Card - 035A.docx,AA5xxx,035A,YPE,1
AA5xxx Card - 035B.docx,AA5xxx,035B,YPE,1
AA5xxx Card - 035C.docx,AA5xxx,035C,YPE,1
AA5xxx Card - 035D.docx,AA5xxx,035D,YPE,1
AA5xxx Card - 035E.docx,AA5xxx,035E,YPE,1
AA5xxx Card - 035F.docx,AA5xxx,035F,YPE,1
AA5xxx Card - 035G.docx,AA5xxx,035G,YPE,1
AA5xxx Card - 035H.docx,AA5xxx,035H,YPE,1
AA5xxx Card - 035I.docx,AA5xxx,035I,YPE,1
AA5xxx Card - 035J.docx,AA5xxx,035J,YPE,1
AA5xxx Card - 035K.docx,AA5xxx,035K,YPE,1
AA5xxx Card - 035L.docx,AA5xxx,035L,YPE,1
AA5xxx Card - 035M.docx,AA5xxx,035M,YPE,1
AA5xxx Card - 035N.docx,AA5xxx,035N,YPE,1
AA5xxx Card - 035O.docx,AA5xxx,035O,YPE,1
AA5xxx Card - 035P.docx,AA5xxx,035P,YPE,1
AA5xxx Card - 035Q.docx,AA5xxx,035Q,YPE,1
AA5xxx Card - 035R.docx,AA5xxx,035R,YPE,1
AA5xxx Card - 035S.docx,AA5xxx,035S,YPE,1
AA5xxx Card - 035T.docx,AA5xxx,035T,YPE,1
AA5xxx Card - 035U.docx,AA5xxx,035U,YPE,1
AA5xxx Card - 036A.docx,AA5xxx,036A,YPE,1
AA5xxx Card - 036B.docx,AA5xxx,036B,YPE,1
AA5xxx Card - 036C.docx,AA5xxx,036C,YPE,1
AA5xxx Card - 036D.docx,AA5xxx,036D,YPE,1
AA5xxx Card - 036E.docx,AA5xxx,036E,YPE,1
AA5xxx Card - 036F.docx,AA5xxx,036F,YPE,1
AA5xxx Card - 036G.docx,AA5xxx,036G,YPE,1
AA5xxx Card - 036H.docx,AA5xxx,036H,YPE,1
AA5xxx Card - 036I.docx,AA5xxx,036I,YPE,1
AA5xxx Card - 036J.docx,AA5xxx,036J,YPE,1
AA5xxx Card - 036K.docx,AA5xxx,036K,YPE,1
AA5xxx Card - 036L.docx,AA5xxx,036L,YPE,1
AA5xxx Card - 036M.docx,AA5xxx,036M,YPE,1
AA5xxx Card - 036N.docx,AA5xxx,036N,YPE,1
AA5xxx Card - 036O.docx,AA5xxx,036O,YPE,1
AA5xxx Card - 036P.docx,AA5xxx,036P,YPE,1
AA5xxx Card - 038A.docx,AA5xxx,038A,YPE,1
AA5xxx Card - 038B.docx,AA5xxx,038B,YPE,1
AA5xxx Card - 038C.docx,AA5xxx,038C,YPE,1
AA5xxx Card - 041A.docx,AA5xxx,041A,YPE,1
AA5xxx Card - 041B.docx,AA5xxx,041B,YPE,1
AA5xxx Card - 041C.docx,AA5xxx,041C,YPE,1
AA5xxx Card - 041D.docx,AA5xxx,041D,YPE,1
AA5xxx Card - 042A.docx,AA5xxx,042A,YPE,1
AA5xxx Card - 042B.docx,AA5xxx,042B,YPE,1
AA5xxx Card - 042C.docx,AA5xxx,042C,YPE,1
AA5xxx Card - 042D.docx,AA5xxx,042D,YPE,1
AA5xxx Card - 042E.docx,AA5xxx,042E,YPE,1
AA5xxx Card - 042F.docx,AA5xxx,042F,YPE,1
AA5xxx Card - 043A.docx,AA5xxx,043A,YPE,1
AA5xxx Card - 043B.docx,AA5xxx,043B,YPE,1
AA5xxx Card - 043C.docx,AA5xxx,043C,YPE,1
AA5xxx Card - 043D.docx,AA5xxx,043D,YPE,1
AA5xxx Card - 043E.docx,AA5xxx,043E,YPE,1
AA5xxx Card - 043F.docx,AA5xxx,043F,YPE,1
AA5xxx Card - 044A.docx,AA5xxx,044A,YPE,1
AA5xxx Card - 044B.docx,AA5xxx,044B,YPE,1
AA5xxx Card - 044C.docx,AA5xxx,044C,YPE,1
AA5xxx Card - 044D.docx,AA5xxx,044D,YPE,1
AA5xxx Card - 044E.docx,AA5xxx,044E,YPE,1
AA5xxx Card - 045A.docx,AA5xxx,045A,YPE,1
AA5xxx Card - 045B.docx,AA5xxx,045B,YPE,1
AA5xxx Card - 045C.docx,AA5xxx,045C,YPE,1
AA5xxx Card - 045D.docx,AA5xxx,045D,YPE,1
AA5xxx Card - 045E.docx,AA5xxx,045E,YPE,1
AA5xxx Card - 045F.docx,AA5xxx,045F,YPE,1
AA5xxx Card - 046A.docx,AA5xxx,046A,YPE,1
AA5xxx Card - 046B.docx,AA5xxx,046B,YPE,1
AA5xxx Card - 046C.docx,AA5xxx,046C,YPE,1
AA5xxx Card - 046D.docx,AA5xxx,046D,YPE,1
