file_name,alloy,card,Al,Si,Fe,Cu,Mn,Mg,Cr,Ni,Zn,Ti,Zr,Sc,Other,YS (MPa),UTS (MPa),Uniform EL (percentage),Fracture EL (percentage),YPE (percentage),Casting,Ingot thickness,Homogenization (Celsius/Minutes),Hot rolling reduction (percentage),Cold rolling reduction (percentage),Recrystallization annealing (Celsius/Minutes),Mean grain size (µm),Secondary phase particle size and density,Crystallographic texture,,,,,,
AA5xxx Card - 007E.docx,AA5xxx,007E,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,92,220,,21.5,0.8,DC,635,540°C > 5 hours,99.6,60,"Batch annealing, 340°C 2 hours",20.7,N/A,,,,,,,
AA5xxx Card - 008A.docx,AA5xxx,008A,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,118,263,,25,0.8,DC,635,540°C > 5 hours,99.6,30,"Batch annealing, 340°C 2 hours",21.6,N/A,,,,,,,
AA5xxx Card - 008B.docx,AA5xxx,008B,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,126,271,,23.5,0.8,DC,635,540°C > 5 hours,99.6,32,"Batch annealing, 340°C 2 hours",21,N/A,,,,,,,
AA5xxx Card - 008C.docx,AA5xxx,008C,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,117.5,262,,24,0.8,DC,635,540°C > 5 hours,99.6,35,"Batch annealing, 340°C 2 hours",18.4,N/A,,,,,,,
AA5xxx Card - 008D.docx,AA5xxx,008D,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,132,276,,24,0.8,DC,635,540°C > 5 hours,99.6,35,"Batch annealing, 340°C 2 hours",17.1,N/A,,,,,,,
AA5xxx Card - 008E.docx,AA5xxx,008E,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,134.5,285,,24,1.2,DC,635,540°C > 5 hours,99.6,50,"Batch annealing, 340°C 2 hours",14.6,N/A,,,,,,,
AA5xxx Card - 008F.docx,AA5xxx,008F,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,135,280,,24,1.5,DC,635,540°C > 5 hours,99.6,60,"Batch annealing, 340°C 2 hours",13.5,N/A,,,,,,,
AA5xxx Card - 008G.docx,AA5xxx,008G,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,145,290,,23,1.5,DC,635,540°C > 5 hours,99.6,65,"Batch annealing, 340°C 2 hours",12.9,N/A,,,,,,,
AA5xxx Card - 008H.docx,AA5xxx,008H,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,142,290,,23.8,1.5,DC,635,540°C > 5 hours,99.6,68,"Batch annealing, 340°C 2 hours",12.4,N/A,,,,,,,
AA5xxx Card - 008I.docx,AA5xxx,008I,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,144,298,,23.8,1.5,DC,635,540°C > 5 hours,99.6,70,"Batch annealing, 340°C 2 hours",11.9,N/A,,,,,,,
AA5xxx Card - 008J.docx,AA5xxx,008J,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,150,295,,22,2,DC,635,540°C > 5 hours,99.6,65,"Batch annealing, 340°C 2 hours",11.1,N/A,,,,,,,
AA5xxx Card - 008K.docx,AA5xxx,008K,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,152,196,,21.8,1.5,DC,635,540°C > 5 hours,99.6,65,"Batch annealing, 340°C 2 hours",10.4,N/A,,,,,,,
AA5xxx Card - 008L.docx,AA5xxx,008L,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,150,198,,21.8,1.5,DC,635,540°C > 5 hours,99.6,67,"Batch annealing, 340°C 2 hours",9.8,N/A,,,,,,,
AA5xxx Card - 008M.docx,AA5xxx,008M,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,155,300,,21.5,1.5,DC,635,540°C > 5 hours,99.6,64,"Batch annealing, 340°C 2 hours",9.87,N/A,,,,,,,
AA5xxx Card - 008N.docx,AA5xxx,008N,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,155,202,,22,1.8,DC,635,540°C > 5 hours,99.6,70,"Batch annealing, 340°C 2 hours",9.3,N/A,,,,,,,
AA5xxx Card - 009A.docx,AA5xxx,009A,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,80,220,,26,0,DC,635,540°C > 5 hours,99.6,20,"Batch annealing, 340°C 2 hours",39.1,N/A,,,,,,,
AA5xxx Card - 009B.docx,AA5xxx,009B,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,85,225,,24,0.4,DC,635,540°C > 5 hours,99.6,40,"Batch annealing, 340°C 2 hours",32.7,N/A,,,,,,,
AA5xxx Card - 009C.docx,AA5xxx,009C,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,87.5,227,,24,0.4,DC,635,540°C > 5 hours,99.6,45,"Batch annealing, 340°C 2 hours",29.5,N/A,,,,,,,
AA5xxx Card - 009D.docx,AA5xxx,009D,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,92,225,,23,0.6,DC,635,540°C > 5 hours,99.6,54,"Batch annealing, 340°C 2 hours",24,N/A,,,,,,,
AA5xxx Card - 009E.docx,AA5xxx,009E,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,93,228,,23,0.7,DC,635,540°C > 5 hours,99.6,50,"Batch annealing, 340°C 2 hours",23.6,N/A,,,,,,,
AA5xxx Card - 010A.docx,AA5xxx,010A,1.00E-08,0.06,0.19,1.00E-08,0.26,3.68,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,87.5,229,,25,0,DC,635,540°C > 5 hours,99.6,20,"Batch annealing, 340°C 2 hours",39.1,N/A,,,,,,,
AA5xxx Card - 010B.docx,AA5xxx,010B,1.00E-08,0.06,0.19,1.00E-08,0.26,3.68,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,91.5,233,,24,0.5,DC,635,540°C > 5 hours,99.6,40,"Batch annealing, 340°C 2 hours",32.7,N/A,,,,,,,
AA5xxx Card - 010C.docx,AA5xxx,010C,1.00E-08,0.06,0.19,1.00E-08,0.26,3.68,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,95,235,,24,0.4,DC,635,540°C > 5 hours,99.6,45,"Batch annealing, 340°C 2 hours",29.5,N/A,,,,,,,
AA5xxx Card - 010D.docx,AA5xxx,010D,1.00E-08,0.06,0.19,1.00E-08,0.26,3.68,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,99,235,,24,0.8,DC,635,540°C > 5 hours,99.6,54,"Batch annealing, 340°C 2 hours",24,N/A,,,,,,,
AA5xxx Card - 010E.docx,AA5xxx,010E,1.00E-08,0.06,0.19,1.00E-08,0.26,3.68,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,102,240,,23,0.7,DC,635,540°C > 5 hours,99.6,55,"Batch annealing, 340°C 2 hours",23.6,N/A,,,,,,,
AA5xxx Card - 011A.docx,AA5xxx,011A,1.00E-08,0.06,0.19,1.00E-08,0.31,3.68,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,93,235,,25,0,DC,635,540°C > 5 hours,99.6,18,"Batch annealing, 340°C 2 hours",39.1,N/A,,,,,,,
AA5xxx Card - 011B.docx,AA5xxx,011B,1.00E-08,0.06,0.19,1.00E-08,0.31,3.68,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,98,238,,23,0.7,DC,635,540°C > 5 hours,99.6,38,"Batch annealing, 340°C 2 hours",32.7,N/A,,,,,,,
AA5xxx Card - 011C.docx,AA5xxx,011C,1.00E-08,0.06,0.19,1.00E-08,0.31,3.68,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,102,238,,23.5,0.4,DC,635,540°C > 5 hours,99.6,40,"Batch annealing, 340°C 2 hours",29.5,N/A,,,,,,,
AA5xxx Card - 011D.docx,AA5xxx,011D,1.00E-08,0.06,0.19,1.00E-08,0.31,3.68,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,106,241,,23,0.8,DC,635,540°C > 5 hours,99.6,50,"Batch annealing, 340°C 2 hours",23.6,N/A,,,,,,,
AA5xxx Card - 011E.docx,AA5xxx,011E,1.00E-08,0.06,0.19,1.00E-08,0.31,3.68,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,107,250,,23,0.7,DC,635,540°C > 5 hours,99.6,50,"Batch annealing, 340°C 2 hours",23.6,N/A,,,,,,,
